id,collection,dc.contributor.advisor[],dc.contributor.author,dc.contributor.author[],dc.contributor.editor,dc.contributor.editor[],dc.date.copyright[],dc.date.issued,dc.date.issued[],dc.date.issued[en],dc.date[],dc.description.abstract[],dc.description.abstract[en],dc.description[en],dc.identifier.citation[en],dc.identifier.issn,dc.identifier.issn[],dc.identifier.uri,dc.identifier.uri[],dc.language.iso[en],dc.publisher[en],dc.rights.uri,dc.rights.uri[],dc.rights[en],dc.subject[en],dc.title.alternative[en],dc.title[en],dc.type,dc.type[],dc.type[en]
"16220","10092/11654",,"Zeiher, Cindy||Grimshaw, Mike",,,,,,,"2017",,,,,,,,"http://hdl.handle.net/10092/13494",,"en",,,"http://creativecommons.org/licenses/by/4.0/","This work is licensed under a Creative Commons Attribution 4.0 International License.",,,"Notes on Contributors",,,"Journal Article"
"16205","10092/11654",,"Faulkner, Joanne",,,,,,,"2017",,,"Women-centred social movements are currently undergoing a period of intense self-reflection and -criticism following the election of Donald J. Trump as President, and in the context of the large degree of support he received from white women. This paper analyses the event of the ‘women’s marches’ that took place globally the day following Trump’s presidential inauguration for its significance for the present and future of feminism. The consequence of the marches has been debated both by participants and non-participants, due to the broad range of issues, interests, and demands present at the events. While there was a diversity of participants in the marches, a common criticism from non-participants was that the march was insufficiently political in its goals and manifestation, too novice and too disparate to constitute real political action. This paper responds to this concern and its implications by staging an exchange between Hannah Arendt and Jacques Rancière, in order to clarify the possibilities of movements such as the marches for the future of feminism.",,,,,"http://hdl.handle.net/10092/13481",,"en",,,"http://creativecommons.org/licenses/by/4.0/","This work is licensed under a Creative Commons Attribution 4.0 International License.","Hannah Arendt, Jacques Rancière, Feminism, Political theory, Women’s Marches",,"“White Women Elected Trump”: Feminism in ‘Dark Times,’ Its Present and Future",,,"Journal Article"
"16208","10092/11654",,"Jöttkandt, Sigi",,,,,,,"2017",,,"Here I propose that a Lacanian feminist undertaking today requires the assertion of two sets of rights: the positive rights of a traditional feminist agenda, together with the rights of the not-all. To illustrate this, I draw on the contemporary political events of Donald Trump's inauguration and the Women's March on Washington.",,,,,"http://hdl.handle.net/10092/13483",,"en",,,"http://creativecommons.org/licenses/by/4.0/","This work is licensed under a Creative Commons Attribution 4.0 International License.","feminism, Lacan, Imaginary, writing, Twitter, psychosis, Compensatory Make-believe Symbolic.",,"The Power of O",,,"Journal Article"
"16209","10092/11654",,"Toffanin, Tania",,,,,,,"2017",,,"In this paper, I try to highlight some key issues involving feminism, its potentials and the obstacles it has been facing from the 1970s onwards. I stress the attention of the enduring left-wing patriarchy and its damaging consequences for feminist movements. I point out the need for to recover the past experiences of struggle, with particular reference to Lotta Femminista and the Wage for Housework network to emphasize, the role of black feminism in the practice of intersectionality as a structural point of reference. Also, I underline the need to debate the results of state feminism and women’s activity within organizations. As well as these, I call attention to the need to analyse the system of oppression within a revolutionary project which aims at overcoming both capitalism and patriarchy, as well as the key role that feminism has to play on the elaboration and implementation of this project. In this way, as feminism cannot be a sporadic commitment, women are asked to articulate every day, wherever they are and whatever they do to produce and reproduce subversion.",,,,,"http://hdl.handle.net/10092/13484",,"en",,,"http://creativecommons.org/licenses/by/4.0/","This work is licensed under a Creative Commons Attribution 4.0 International License.","Capitalist Patriarchy, Resistance, Intersectionality",,"Old and New Constraints and Resistances of Feminism: the Role of Past Experiences in Rethinking of Class, Oppression and Patriarchy",,,"Journal Article"
"16211","10092/11654",,"Daellenbach, Shanti",,,,,,,"2017",,,"This article begins to think the groundwork for a revolutionary feminist politics in an era shaped by contemporary finance capital and the increasing financialisation daily life. Conceiving of financialisation as a strategic response to a threat that must be brought under capital’s control through reorganising the exploitation of labour-power, it provides a reading of the seemingly abstract sphere of financial circulation as fundamentally dependent upon the very material and primary labour of reproduction. The article undertakes an analysis of how social reproduction is increasingly financialised today, in ways that play on and reinforce the persistently gendered reality of this work for the purpose of financial accumulation and increasing the profitability of labour. From the gendered targeting of financial instruments, to discursive tropes of women’s pathologies and responsibilities in household financial management, financialisation both creates new terrains of reproductive work and deepens households’ and women’s entanglement with financial markets to ensure their survival. Drawing on the critical writings and political strategies of autonomist feminism, this paper argues that women’s reproductive labour is central to the continued ascendancy of finance capital and, consequently, that feminist struggle’s for autonomy, self-valorisation and socialisation of reproduction are central to its destruction. Understanding what finance means to feminism and, in turn, what feminism might mean to finance today is imperative for a relevant contemporary feminist politics and to effective anti-capitalist strategy alike. This begins with a critical re-examination of the emergence of the hierarchical sexual division of labour particular to capital relations and its status in contemporary finance capital.",,,,,"http://hdl.handle.net/10092/13485",,"en",,,"http://creativecommons.org/licenses/by/4.0/","This work is licensed under a Creative Commons Attribution 4.0 International License.","financialisation, social reproduction, gender, autonomist-feminism, finance capital, Wages for Housework",,"Feminism, Finance and the Work of Reproduction",,,"Journal Article"
"16200","10092/11654",,"Zeiher, Cindy||Grimshaw, Mike",,,,,,,"2017",,,,,,,,"http://hdl.handle.net/10092/13476",,"en",,,"http://creativecommons.org/licenses/by/4.0/","This work is licensed under a Creative Commons Attribution 4.0 International License.",,,"Introduction: What does it mean to be Feminist today?",,,"Journal Article"
"16213","10092/11654",,"McGowan, Todd",,,,,,,"2017",,,,,,,,"http://hdl.handle.net/10092/13487",,"en",,,"http://creativecommons.org/licenses/by/4.0/","This work is licensed under a Creative Commons Attribution 4.0 International License.",,,"Book Review - Althusser and Theology by Agon Hamza (Ed)",,,"Journal Article"
"16214","10092/11654",,"Crockett, Clayton",,,,,,,"2017",,,,,,,,"http://hdl.handle.net/10092/13488",,"en","University of Canterbury",,"http://creativecommons.org/licenses/by/4.0/","This work is licensed under a Creative Commons Attribution 4.0 International License.",,,"Book Review - The Trouble With Pleasure: Deleuze and Psychoanalysis by Aaron Schuster",,,"Journal Article"
"16223","10092/11654",,"Zupancic, Alenka",,,,,,,"2017",,,,,,,,"http://hdl.handle.net/10092/13496",,"en",,,"http://creativecommons.org/licenses/by/4.0/","This work is licensed under a Creative Commons Attribution 4.0 International License.",,,"Book Review - Capitalism and Desire: The Psychic Cost of Free Markets by Todd McGowan",,,"Journal Article"
"16203","10092/11654",,"Kunkle, Sheila",,,,,,,"2017",,,"This essay considers how Feminism might become a force for radical change as construed through two perspectives: the Marxist vision of Kathi Weeks and the Hegelian logic of Slavoj Žižek.  I begin by enumerating the antinomies of late capitalism and the ways it has subsumed our identities and commodified our social relations.  I then  elucidate how Weeks’ Marxist utopia (her demands of basic income and less work) require a “hopeful subject” and positive freedom, while Zizek’s Hegelian logic and vision of a communist future require the negativity of freedom, a divided subject, and hopelessness.  Weeks’ feminism posits a direct opposition to capitalism, setting boundaries to its external limits, while Zizek’s Hegelian logic would require the reconfiguration of capitalism’s internal limits.  Finally, I propose how a feminism geared towards its own extinction might make a Marxian move by way of Hegelian logic, through the consideration of Fredric Jameson’s “An American Utopia.”",,,,,"http://hdl.handle.net/10092/13479",,"en",,,"http://creativecommons.org/licenses/by/4.0/","This work is licensed under a Creative Commons Attribution 4.0 International License.","Feminism, Marx, Hegel, Capitalism, Utopia",,"Feminism in the Logic of Late Capitalism",,,"Journal Article"
"16204","10092/11654",,"Fielder, Anna",,,,,,,"2017",,,"In light of the feminist response to the presidential victory of Donald Trump, this piece draws upon the work of critical left thinkers such as Alain Badiou, Nancy Fraser and Fredric Jameson in order to advocate a future for feminism that is based on the radical left. Taking inspiration from Fredric Jameson’s suggestion that History is marked by “the collective struggle to wrest a realm of Freedom from a realm of Necessity” this piece argues for a feminism that does not individualise or commodify people’s relationships with Necessity, but that has as one if its central tenets a collective caring and tending for those inescapable aspects of living. This does not require a move away from contemporary feminist concerns for signification and language. How Necessity is brought (if only partially) into signification and collectively tended for, now constitute vital points of discussion in a left politics that feminists have little choice but to engage with.",,,,,"http://hdl.handle.net/10092/13480",,"en",,,"http://creativecommons.org/licenses/by/4.0/","This work is licensed under a Creative Commons Attribution 4.0 International License.","Feminism, Necessity, marxism, reproduction",,"Tending for Necessity: Reclaiming feminism on the left",,,"Journal Article"
"16201","10092/11654",,"Horbury, Alison",,,,,,,"2017",,,"Like Freud’s famous inquiry ‘what does a woman want?’, this paper asks a similar question of the signifier ‘feminism’ for if one aims to (re)imagine feminism for the new millennium one must first ask: what does Feminism want? This (imperfect) reference to Freud’s question hopes to draw attention to the particular and the universal underpinning the signifier feminism, a slipperiness that works idiosyncratically at the threshold of public and private politics which, though it is perhaps the most unifying aspect of feminism, nevertheless undermines it. To politicize the personal one must question the signifier that comes to universalize an indefinite article for, as I argue in this paper, what ‘a’ woman wants is beneath the bar of what Feminism wants when it is mounted in public discourse. To continue to invest publically in a signifier of personal politics––as Jacqueline Rose advocates (2014)––then, one must rephrase the question: of what does this signifier Feminism speak when it is mounted in public discourse? This paper considers some mechanisms by which this signifier generates and mobilizes desire, fantasy, and phobia in public politics where feminism’s knowledge product covers over or, in Rose’s terms, “sanitizes” those “disturbing insight[s]” (2014: x) of experience, “everything that is darkest, most recalcitrant and unsettling” (2014 xii), in the “furthest limits of conscious and unconscious life” (2014: x). Here, where this signifier constitutes an ideal-ego, its effects are inhibiting. In short, this paper argues that before any future of feminism can be imagined, those occupying a feminist position—discourse, politics, or identity—must ask what their unconscious investment in this signifier is. In Lacanian terms, one must relinquish feminism’s discourse of protest and complete the circuit through the analyst’s discourse to ask: what does <em>a</em> woman want in feminism? What does Feminism want?",,,,,"http://hdl.handle.net/10092/13477",,"en",,,"http://creativecommons.org/licenses/by/4.0/","This work is licensed under a Creative Commons Attribution 4.0 International License.","feminism, psychoanalysis, Woman, desire, the gaze, Lacan, the unconscious, jouissance",,"What Does Feminism Want?",,,"Journal Article"
