id,collection,dc.contributor.author,dc.contributor.author[],dc.contributor.author[en],dc.contributor.editor[],dc.date.issued,dc.date.issued[en],dc.description.abstract[en],dc.identifier.citation,dc.identifier.citation[en],dc.identifier.isbn,dc.identifier.issn,dc.identifier.issn[],dc.identifier.uri,dc.identifier.uri[],dc.language.iso[en],dc.publisher,dc.publisher[en],dc.rights.uri[],dc.rights.uri[en],dc.rights[en],dc.source.uri[],dc.source.uri[en],dc.subject.anzsrc[en],dc.subject.marsden[en],dc.subject[en],dc.title,dc.title.alternative[en],dc.title[en],dc.type,dc.type[],dc.type[en],uc.bibnumber[en],uc.number[],uc.number[en],uc.publicationid[],uc.publicationid[en]
"8619","10092/5722","Chen, Z.||Yeh, Y-Y",,,,,"2013","Previous research has shown that attention to an object can trigger the retrieval of features of a preceding object. The
present study investigates whether such retrieval would occur to a recently inhibited object. In three experiments,
participants saw two successively presented stimuli (S1 and S2) that varied in color and orientation. The task was to respond
to the color or orientation of S2 in accordance with a task cue at the beginning of each trial. In separate experiments, we
manipulated the number of the trials on which the task relevant features of S1 and S2 were matched versus mismatched,
and the perceived object continuation between the two stimuli. Evidence for spontaneous feature retrieval was found when
S1 and S2 could be seen as different instantiations of the same object but not when they were likely to be perceived as
different types of objects. These results suggest that the features of a previously inhibited object can be retrieved
spontaneously. However, such retrieval and its effect on a subsequent stimulus depend on the perceived object continuity
between the two successive stimuli.",,"Chen, Z., Yeh, Y-Y (2013) Perceived object continuity and spontaneous retrieval of features from an inhibited object. PLOS ONE, 8(5), pp. e63264.",,,,"http://hdl.handle.net/10092/11361",,"en",,"University of Canterbury. Psychology",,"http://library.canterbury.ac.nz/ir/rights.shtml",,,"http://dx.doi.org/10.1371/journal.pone.0063264","Field of Research::17 - Psychology and Cognitive Sciences::1701 - Psychology::170112 - Sensory Processes, Perception and Performance",,,,,"Perceived object continuity and spontaneous retrieval of features from an inhibited object","Journal Articles",,,,,"52337",,"12645145"
"15214","10092/5722","Angelo, Anton F||Walsh, Lucy-Jane||Thomson, Christoper",,,,,"2016","We found over 1000 unique items in New
Zealand Institutional Repositories gIRs)
cited almost 2000 times in articles
indexed by SCOPUS. Theses and grey
materials are becoming mainstream
scholarly communication.",,"We found over 1000 unique items in New
Zealand Institutional Repositories gIRs)
cited almost 2000 times in articles
indexed by SCOPUS. Theses and grey
materials are becoming mainstream
scholarly communication.",,,,"http://hdl.handle.net/10092/12663",,"en",,,,,"cc-by international 4.0","https://creativecommons.org/licenses/by/4.0/",,"Field of Research::08 - Information and Computing Sciences::0807 - Library and Information Studies::080706 - Librarianship",,"institutional repository||scholarly communication||scopus||grey material||electronic theses and dissertations",,,"Citing the Institutional Repository","Conference Contributions - Other",,,,,,,
"15246","10092/5722",,"Brown, Allison||Curnow, Amanda||He, Amanda||Joseph, Amy||Schweer, Andrea||White, Andrew||Angelo, Anton||Arona, Aurelia||Fitchett, Deborah||Richardson, Emma||Wilson, Fiona||Walker, Glen||Thomas, Helen||Taiuru, Karaitiana||Miller, Kate||Gilmour, Kerry||Shepherd, Kim||Pengelly, Leah||Yoshioka, Mariko||Sullivan, Max||Parry, Michael||Paul, Nekerangi||Kennedy, Peter||Dawson, Roger||bin Mahli, Rudy||Tritt, Sarah||Cooke, Simon||Donaldson, Steve||Allan, Sue||Avery, Tom||Anderson, Valerie",,,,"2015","The following notes were made by attendees (listed at the end of the document) and published under Creative Commons Attribution 4.0  licence.",,,,,,,"http://hdl.handle.net/10092/12690","en",,"University of Canterbury","https://creativecommons.org/licenses/by/4.0/",,"Creative Commons Attribution 4.0  licence.",,,"Field of Research",,"institutional repository||Open Access||Librarianship||ORCiD||Research Data||Indigenous Knowledge",,,"Proceedings of the New Zealand Institutional Repository Community Day 2015",,"Conference Contributions - Published",,,,,,
"10826","10092/5722",,,"Angelo, Anton||Lund, P.",,,"2014","In terms of scholarly publishing the academic library’s role in Kaitiakitanga is changing. Open access is growing in importance as library budgets contract. There are two main routes to open access: the green route through submission of manuscripts to institutional and subject repositories and the gold route which may require authors to pay article processing charges (APCs). Research Councils in the UK now provide UK universities with a block grant to help UK researchers publish using gold open access. So how are researchers in New Zealand responding to the availability of the gold open access road without similar support? Is this business model working in New Zealand, why are researchers choosing this route and what are the trends? This paper will report the results of a current survey of University of Canterbury researchers publishing their outputs using gold open access. It also aims to uncover the motives for going gold and indicate the demand and costs to an institution of this publishing route, so providing a case study of gold open access publishing in New Zealand.",,"Angelo, A., Lund, P. (2014) An evolving business model for scholarly publishing: exploring the payment of article processing charges (APCs) to achieve open access. Auckland, New Zealand: LIANZA Conference 2014, 12-15 October.",,,,,"http://hdl.handle.net/10092/9730","en",,"University of Canterbury. Library",,"http://library.canterbury.ac.nz/ir/rights.shtml",,,,,,"Library Science||Article Processing Charges||Green Open Access||OA||Gold Open Access||Scholarly Publishing",,,"An evolving business model for scholarly publishing: exploring the payment of article processing charges (APCs) to achieve open access","Conference Contributions - Published",,,,,"238999||240861",,"12651658"
"12226","10092/5722","Fisher, M.",,,,,"2014","This research commission
is comprised of five documents instead of one: an environmental overview (together with the
three topic-studies), and separate case studies on Whaingaroa Harbour, the Mokau River
mouth, the Waipa River, and Pirongia Forest Park. Whilst each operates as a discrete,
standalone report, some minor cross-referencing has been noted to avoid unnecessary
overlaps, and the reports should still be read in the context of the original commission. The
author of each report is noted in the prefaces: David Alexander for the environmental
overview (and the three topic-studies), Martin Fisher for the Whaingaroa Harbour and
Pirongia Forest Park case-studies, and Matthew Cunningham for the Mokau River mouth and
Waipa River case-studies.",,"Fisher, M. (2014) The Environmental Management of Pirongia Forest Park with a Focus on the Period Since 1970.  Waitangi Tribunal. 127pp..",,,,"http://hdl.handle.net/10092/10652",,"en",,"University of Canterbury. Ngai Tahu Research Centre",,"http://library.canterbury.ac.nz/ir/rights.shtml",,,,"Field of Research::07 - Agricultural and Veterinary Sciences::0705 - Forestry Sciences||Field of Research::05 - Environmental Sciences::0502 - Environmental Science and Management::050205 - Environmental Management",,,,,"The Environmental Management of Pirongia Forest Park with a Focus on the Period Since 1970","Reports",,,,,"242151",,"12654484"
"2873","10092/5722","Upjohn, M.J.||Fitchett, D.J.",,,,,"2008","The community served by a library is often unaware of the range of resources and services its library provides. To address these issues, University of Canterbury librarians investigated a ""Library on Location"" service. After reviewing similar services elsewhere, the librarians conducted two term-long trials taking a wireless-enabled laptop and a selection of borrowable items out of the library to high-traffic student areas. Different configurations of equipment, location and time of day were tested to evaluate usage of the service in this environment. Library on Location proved to be an easy and effective way to provide outreach services and publicity about the Library beyond the library walls.",,"Upjohn, M.J., Fitchett, D.J. (2008) Library on Location: Taking library services outside the library walls. Auckland, New Zealand: LIANZA Conference 2008: Poropitia Outside the Box, 2-5 Nov 2008.",,,,"http://hdl.handle.net/10092/2516",,"en",,"University of Canterbury. Engineering Library||University of Canterbury. Physical Sciences Library",,"http://library.canterbury.ac.nz/ir/rights.shtml",,,"http://opac.lianza.org.nz/cgi-bin/koha/opac-detail.pl?bib=393",,"Fields of Research::280000 Information, Computing and Communication Sciences","Library and Information Science||outreach||mobile services||academic libraries",,,"Library on Location: Taking library services outside the library walls","Conference Contributions - Published",,,,,"36154||12274",,"12615067"
"6149","10092/5722","Roberts, S.F.||Fitchett, D.J.||Paterson, M.E.",,,,,"2011","Following the September 2010 earthquake and the closure of a number of campus libraries, library staff at the University of Canterbury was forced to rethink how they connected with their users. The established virtual reference service now meant library staff could be contacted regardless of their physical location. After the February earthquake, with University library closures ranging from 3 weeks to indefinite, this service came into its own as a vital communication tool. It facilitated contact between the library and both students and academics, as well as proving invaluable as a means for library staff to locate and communicate with each other.

Transcripts from our post-earthquake interactions with users were analyzed using NVivo and will be presented in poster format showing the increase in usage of the service following the earthquakes, who used the service most, and the numbers and types of questions received.

Our virtual reference tool was well used in the difficult post-earthquake periods and we can see this usage continuing as university life returns to normal.",,,,,,"http://hdl.handle.net/10092/5686",,"en",,"University of Canterbury. Library",,"http://library.canterbury.ac.nz/ir/rights.shtml",,,,"Field of Research::08 - Information and Computing Sciences::0807 - Library and Information Studies",,"virtual reference||academic libraries||disaster management",,,"Library services without a library: post-earthquake use of virtual reference at University of Canterbury","Conference Contributions - Other",,,,,"12274||235203||96992",,"12633945"
"5139","10092/5722","Roberts, S.F.",,,,,"2010","This presentation provides an overview of the development and use of an online quiz as part of the University of Canterbury’s Legal Research Skills teaching programme.  

Each year around 500 students enrol in the 100 level Legal Systems paper at the University of Canterbury’s School of Law and the Library teaches them some very basic legal research skills as part of the tutorial programme.  After attending a librarian-taught legal research skills class, the students are tested on their knowledge by completing quiz that is handed in and marked by the Information Librarians.  This year for the first time, we have replaced this paper-based quiz with one that is completed online through our electronic teaching platform, Moodle.   We were hoping that the online quiz would have better learning outcomes for the students and that it would lessen our workload by removing the hours spent marking.  These rather conservative aims were fulfilled and in addition some unexpected benefits resulted.

The presentation will cover:
the background and history of UC’s legal research skills programme; why we moved to an online quiz 
what learning outcomes we are seeking; the limitations of the software and implications for quiz design; a demonstration of the quiz; how it was received and used by the students; and, future plans for this kind of learning.",,"Roberts, S.F. (2010) Moving From Teaching to Learning: The Use of the Online Quiz in an Academic Legal Research Skills Programme. Melbourne, Australia: 2010 ALLA and NZLLA Joint Conference: Cross Currents - Charting our Future, 29 Sep-1 Oct 2010.",,,,"http://hdl.handle.net/10092/4709",,"en",,"University of Canterbury. School of Law",,"http://library.canterbury.ac.nz/ir/rights.shtml",,,,"Field of Research::18 - Law and Legal Studies::1899 - Other Law and Legal Services::189999 - Law and Legal Studies not elsewhere classified",,,,,"Moving From Teaching to Learning: The Use of the Online Quiz in an Academic Legal Research Skills Programme",,,,,,"235203",,"12627128"
"12223","10092/5722","Derrick, D.||Fiasson, R.||Best, C.T.",,,,,"2014","Using electromagnetometry tracking of the tongue, Best et al. (2010, 2014) have demonstrated that Wubuy, an Australian language with four coronal stop places, shows significant differences in tongue tip vs. tongue body motion range and motion coordination contrasting apicals and laminals. Here we continue this line of inquiry with three coronal obstruents in English, the apical alveolar stop /d/ and alveo-palatal affricate /d? ?/ vs. the laminal dental fricative /ð/. The results show support for tongue tip/body motion range differences between /d/ and /ð/ across vowel contexts. They also showed a tongue tip/body motion coordination distinction between the apical /d/ and laminal /ð/, which was significant for /i/ and /u/ but not /a/ contexts. Results are consistent with the Wubuy findings (Best et al, 2010, 2014) despite the differences in the coronal obstruent contrasts of the two languages, suggesting an apical/laminal distinction in tongue tip/body coordination.",,"Derrick, D., Fiasson, R., Best, C.T. (2014) Coordination of tongue tip and body in place differences among English coronal obstruents. Cologne, Germany: 10th International Seminar on Speech Production (ISSP 2014), 5-8 May 2014. Proceedings..",,,,"http://hdl.handle.net/10092/10653",,"en",,"University of Canterbury. New Zealand Institute of Language, Brain & Behaviour",,"http://library.canterbury.ac.nz/ir/rights.shtml",,,,"Field of Research::20 - Language, Communication and Culture::2004 - Linguistics::200404 - Laboratory Phonetics and Speech Science",,"articulatory phonology||coronal obstruents||apical-laminal distinction||tongue tip/body coordination",,,"Coordination of tongue tip and body in place differences among English coronal obstruents",,,,,,"239518",,"12654386"
"8554","10092/5722",,,"Angelo, Anton||Lund, Peter.",,,"2013","Formal data management plans (DMPs) are becoming required for projects funded through UK and EU sources. Data sets are increasingly
being expected to accompany papers in order to encourage re-analysis and scholarly transparency, and DMPs outline expectations of how
datasets will be presented as final research outputs. Considerations for a DMP include : format, privacy, licensing and re-use restrictions,
archiving, persistent identification and compliance to funder’s and institutional policies. Support for researchers creating DMPs can come from collaboration between University librarians, research support offices and ICT departments to create services that fit research needs. Some Universities (Duke University, M.I.T., Edinburgh, Oxford) now have data librarians to support this work. At University of Canterbury we are investigating how UC Library can support researchers in development of DMPs. Up-skilling and advocacy will be required in order for Libraries to provide Library Guides, training and advice. Promotion in the research community will be crucial.",,"Angelo, A., Lund P. (2013) Data management plans: what are they and how libraries can help.. Christchurch New Zealand: E-Research NZ, 2-4 July 2013.",,,,,"http://hdl.handle.net/10092/7894","en",,"University of Canterbury. Library",,"http://library.canterbury.ac.nz/ir/rights.shtml",,,,,,,,,"Data management plans: what are they and how libraries can help.","Conference Contributions - Other",,,,,"240861||238999",,"12645421"
