id,collection,dc.contributor.advisor[],dc.contributor.author,dc.contributor.author[],dc.contributor.editor[],dc.date.issued[en],dc.description.abstract[en],dc.description[en],dc.identifier.citation[en],dc.identifier.isbn,dc.identifier.isbn[],dc.identifier.issn,dc.identifier.issn[],dc.identifier.uri,dc.identifier.uri[],dc.language.iso[en],dc.language[],dc.publisher[],dc.publisher[en],dc.rights.uri[],dc.rights[en],dc.source.uri[en],dc.subject.anzsrc[en],dc.subject[en],dc.title.alternative[en],dc.title[en],dc.type,dc.type[en],thesis.degree.discipline[en],thesis.degree.grantor[en],thesis.degree.level[en],thesis.degree.name[en],uc.college[en],uc.email[en],uc.number[],uc.publicationid[]
"16899","10092/13758",,"Wi, Toni",,,"2016","The Commission for the Conservation of Marine Living Resources, otherwise
known as CCAMLR, is the governing body established as part of the Antarctic
treaty system to regulate fisheries in the Southern Ocean. Due to concern about
the exploitation of Antarctic krill (Euphasia superba), a key prey item in the
Antarctic marine food web, the CCAMLR Ecosystem Monitoring Programme
(CEMP) aims to account for the needs of predator species when setting
conservation measures such as catch limits. This precautionary approach is
integral to the conservation objectives of CCAMLR and the rational use of marine
resources. Predator parameters and environmental conditions are monitored as
they are likely to be important for both predator and prey species. In the krill
fishery, a krill yield model allows for krill escapement and trigger levels are set
to protect dependent predators and minimize ecosystem effects. The scale of
management units should be taken into account for a better understanding of
the effects of harvesting and allow for faster management response. Future
challenges such as climate change could further complicate the ecosystem based
approach, but may be anticipated by the precautionary management of CCAMLR
and the ecosystem monitoring programme.",,,,,,,"http://hdl.handle.net/10092/13844",,"en","English",,"University of Canterbury",,"All Rights Reserved",,,,,"Fisheries Management and Ecosystem Monitoring in the Southern Ocean",,"Electronic Thesis or Dissertation","Science","University of Canterbury","Postgraduate Certificate","Postgraduate Certificate in Antarctic Studies","College of Science, University of Canterbury","ucresearchrepository@canterbury.ac.nz",,
"16908","10092/13758",,"Schroeter, Ben",,,"2015","There	are	known	deficiencies	in	contemporary	sea	ice	observation	techniques.	Manual	
methods	are	physically	laborious	and	subject	to	human-induced	observation	error,	as	
are	ship-based	methods.	Upward	Looking	Sonar	(ULS)	allows	the	subsurface	mapping	of	
ice	floe	topography,	though	it	is	subject	to	acoustic	propagation	errors.	Electromagnetic	
Induction	Sounding	(EM)	is	principally	impaired	by	device	size,	weight	and	flight	height.	
Visible/near-IR	(VIR),	thermal	infrared	(TIR)	and	laser	altimetry	are	challenged by	
atmospheric	interference	and/or	require	solar	illumination,	limiting	their	applicability	
at	night	or	in	the	polar	winter.	Microwave	methods	(Radar	Altimetry,	Passive	
Microwave)	can	penetrate	cloud	and	snow	cover,	albeit	at	lower	spatial	and	temporal	
resolutions.	This	paper	provides	a	summary	of	current	observation	technology,	and	
highlights	future	research	directions	in	this	field.",,,,,,,"http://hdl.handle.net/10092/13853",,"en","English",,"University of Canterbury",,"All Rights Reserved",,,,,"Sea	ice	observation	in	Antarctica Status	and	Outlook",,"Electronic Thesis or Dissertation","Science","University of Canterbury","Postgraduate Certificate","Postgraduate Certificate in Antarctic Studies","College of Science, University of Canterbury","ucresearchrepository@canterbury.ac.nz",,
"16918","10092/13758",,"Dobson, Wills",,,"2014","Despite the extreme conditions of inland terrestrial Antarctica, life still manages to
survive in microbial form.
Exploring and understanding how it exists has important implications in understanding
evolutionary processes, modelling early earth life and astrobiology.
The most extreme environments that harbour microbial life in continental Antarctica
are the Dry Valleys of the Transantarctic Mountains and the protruding Nunataks of the
Ice sheet expanse. Conditions in these environments are harsh, with water in low
supply, extreme temperature variation and either too much or too little sunlight.
Life exists in a variety of shapes and forms. Nematodes and Tardigrades are some of the
hardiest micro fauna known, able to survive total desiccation and freezing. Mosses,
Algae and Lichen make up the photosynthesis capable organisms and can survive in a
wide variety of environments.
These organisms strive against the odds and form habitats not just in soil or on rock
surfaces, but also under or within the rock. This helps to manage their moisture supply,
and protect from harmful exterior forces such as extreme temperature variations and
UV radiation.
The major limiting forces for microbial life in terrestrial continental Antarctica are
varied. Unsurprisingly water availability is the most important as it controls all
organisms ability to live and grow. Temperature is also important due to its effect on the
freezing point of water and controls on photosynthesis. Light plays a major part as it
helps control the growth of the photosynthetic organisms as well as varies the
temperature. Surface type is also important due to the slow growth rates in Antarctica,
coupled with the environments required in which to survive.",,,,,,,"http://hdl.handle.net/10092/13863",,"en","English",,"University of Canterbury",,"All Rights Reserved",,,,,"What are the limiting survival factors of microbial life in continental terrestrial Antarctica?",,"Electronic Thesis or Dissertation","Science","University of Canterbury","Postgraduate Certificate","Postgraduate Certificate in Antarctic Studies","College of Science, University of Canterbury","ucresearchrepository@canterbury.ac.nz",,
"16904","10092/13758",,"Lowther, Nicholas",,,"2014","The production of artificial radionuclides from the atmospheric thermonuclear
testing of the 1950s onwards has been detected in Antarctica. The
presence of these pollutants has been utilised by science to produce meteorological
information about the Antarctic continent. Accurate analysis of
radionuclide stratospheric residence times, air to ice radionuclide concentration
ratios, fallout characteristics of radionuclides and snow accumulation
rates are made possible by their presence in Antarctica. The artificial
radionuclides of 137Cs and 90Sr and natural radionuclide 210Pb have ideal
decay properties for analysing the meteorological applications. By understanding
the processes that current pollutants follow in Antarctica we can
plan effectively for new and emerging pollutants that threaten the continent.",,,,,,,"http://hdl.handle.net/10092/13849",,"en","English",,"University of Canterbury",,"All Rights Reserved",,,,,"The Distribution and Deposition of Radionuclides over Antarctica",,"Electronic Thesis or Dissertation","Science","University of Canterbury","Postgraduate Certificate","Postgraduate Certificate in Antarctic Studies","College of Science, University of Canterbury","ucresearchrepository@canterbury.ac.nz",,
"16906","10092/13758",,"Phillips, Clive",,,"2015","Logistic support to inland bases and field parties in Antarctica consumes a large part of the budgets of
National Antarctic Programmes. In recent years, significant cost savings have been made by replacing
parts of some previously entirely air resupply operations with overland traverses. Since the first
resupply of South Pole Station in 2005, incremental improvements to load carrying systems and sled
design have improved the efficiency of traverses significantly by increasing the load each vehicle can
pull. Autonomous vehicles carrying Ground Penetrating Radar systems and semi-autonomous tractor
vehicles in the final stages of development and testing, offer the potential to further enhance the
efficiency of traverses by improving route finding, increasing crew safety, and enabling crews to
operate for longer periods, reducing mission length. The use of renewable energy sources to power
small autonomous vehicles carrying Ground Penetrating Radar systems represents a further
opportunity to improve the efficiency of traverses by reducing the amount fuel carried for use during
the traverse. The use of renewable energy sources to power larger polar vehicles is being
investigated, but reducing traverse fuel demand further by using of this type of technology in tractor
vehicles is not likely in the short term.",,,,,,,"http://hdl.handle.net/10092/13851",,"en","English",,"University of Canterbury",,"All Rights Reserved",,,,,"Future Developments in Land Traverse Resupply Operations in Antarctica.",,"Electronic Thesis or Dissertation","Science","University of Canterbury","Postgraduate Certificate","Postgraduate Certificate in Antarctic Studies","College of Science, University of Canterbury","ucresearchrepository@canterbury.ac.nz",,
"16907","10092/13758",,"Route, Gail",,,"2015","Ocean acidification is regarded as one of the most recent threats to the global
environment resulting from unprecedented absorption of elevated anthropogenic
carbon dioxide emissions. The emerging research on the effect of acidifying oceans on
marine organisms collectively indicates a potential detrimental effect on biodiversity,
particularly for aragonite-derived organisms. This in turn affects marine food webs that
can impact on the livelihood of humans. An urgent need for multidisciplinary research is
highlighted which, ideally, needs to be internationally coordinated. This will enable a
better understanding of the predictability and effects of ocean acidification on marine
biodiversity and can be implemented in mitigation and policy-making.",,,,,,,"http://hdl.handle.net/10092/13852",,"en","English",,"University of Canterbury",,"All Rights Reserved",,,,,"To What Extent Can Acidification in the Southern Ocean Impact on Marine Biodiversity?",,"Electronic Thesis or Dissertation","Science","University of Canterbury","Postgraduate Certificate","Postgraduate Certificate in Antarctic Studies","College of Science, University of Canterbury","ucresearchrepository@canterbury.ac.nz",,
"16909","10092/13758",,"Schroeter, Serena",,,"2015","Antarctic	sea	ice plays	a	key role	in the	global	climate	system, moderating	heat
and	moisture exchange	in	the	Southern	Ocean,	reflecting	solar	radiation,	and	
maintaining	global	thermohaline	circulation.	However,	the	trend	of	increasing	
Antarctic	seasonal	sea	ice	extent	observed	during the	past	few	decades	is	not	
currently	reproduced	by	the	majority	of	climate	models.	A	key	question	has	
emerged:	Is	this	disparity due	to	problems	within	the	physics	of	the	models,	or	
due	to drivers	of	sea	ice	extent that	are	not	yet	incorporated	in	the	models?	
Accurate	representation	of	sea	ice	dynamics	and	processes	is	vital	to	inform	
regional	and	global	climate	predictions,	and	a	large	body	of	publications	
investigating	this	disparity	has	developed	in	the	past	decade.	This	paper	
summarises	academic	literature	on	modelling	sea	ice	extent,	concluding	that	
while the	models	contain biases	and	poorly	represent	some	climate	processes,	
particularly	in	ocean	components,	substantial	uncertainty	remains	as	to	the	
processes	driving	sea	ice	extent increases,	which	could	limit	the	capacity	for	
accurate	representation	in	models.	Further	research	into	the	processes	driving	
the	increase	in	sea	ice	extent is	therefore	highly	recommended.",,,,,,,"http://hdl.handle.net/10092/13854",,"en","English",,"University of Canterbury",,"All Rights Reserved",,,,,"Antarctic	sea-ice	extent	in	global	coupled	climate	 models",,"Electronic Thesis or Dissertation","Science","University of Canterbury","Postgraduate Certificate","Postgraduate Certificate in Antarctic Studies","College of Science, University of Canterbury","ucresearchrepository@canterbury.ac.nz",,
"16911","10092/13758",,"Thame, Florence",,,"2015","Beneath the Antarctic ice sheets there is an aquatic subglacial ecosystem which consists of a
complex network of subglacial lakes and interconnecting water courses. The possibility of
microbial life surviving in extreme environments has led to the direct sampling of several
subglacial lakes. To ensure the validity and integrity of results, rigorous risk management
planning and clean methods of sampling must be adopted to prevent the risk of contaminating
both the samples and the natural biodiversity of these isolated ecosystems. Following the
Code of Conduct for the environmental stewardship of these environments and the
application of clean sampling methods such as hot water drilling are the safest option
currently available. All current and future research projects should be undertaken only after
undertaking a detailed risk analysis, and research operators should practise their
methodologies on small scale lakes so that they can learn from this baseline information and
thus reduce the environmental impacts of their exploration methods.",,,,,,,"http://hdl.handle.net/10092/13856",,"en","English",,"University of Canterbury",,"All Rights Reserved",,,,,"Delving into the deep: uncovering the ecology of subglacial lakes in Antarctica",,"Electronic Thesis or Dissertation","Science","University of Canterbury","Postgraduate Certificate","Postgraduate Certificate in Antarctic Studies","College of Science, University of Canterbury","ucresearchrepository@canterbury.ac.nz",,
"16917","10092/13758",,"Dobson, Sophie",,,"2014","As Antarctica is the only continent on Earth that does not maintain a permanent resident human
population it is important to gain an understanding of how humans impact upon the local
environment so the best management strategies and approaches can be defined.
Throughout this review it was found that despite its vast land area and recent, comparatively low
human population the necessary activities required for humans to inhabit Antarctica had a
noticeable impact on Antarctic ecosystems as pathogens were found to be released from human
waste products to infect local fauna and the community make up of several benthic and soil
communities were altered via exposure to contaminants via fuel spills and leakage from abandoned
station waste sites . Legacy waste left over from less environmentally focused periods in Antarctic
history is a big problem for current managers.
A more effective range of environmental measures may be required to ensure the Environmental
Protocol is implemented efficiently. Many waste water treatment installations are still relatively new
and the effects on the environment are as yet unknown.",,,,,,,"http://hdl.handle.net/10092/13862",,"en","English",,"University of Canterbury",,"All Rights Reserved",,,,,"Management and Disposal of Anthropogenic wastes and its Effects on the Antarctic Environment",,"Electronic Thesis or Dissertation","Science","University of Canterbury","Postgraduate Certificate","Postgraduate Certificate in Antarctic Studies","College of Science, University of Canterbury","ucresearchrepository@canterbury.ac.nz",,
"16919","10092/13758",,"Hartley, Karri",,,"2014","The extreme conditions of the Antarctic continent represent a significant barrier to life.
Vegetation of terrestrial Antarctica is restricted to regions free of ice, which make up only
0.3 percent of the continent. Antarctic plants live at the physiological limits of survival. Land
plants are mostly confined to the cryptogams: mosses dominate the ice-free land and can
form complex communities in areas that receive adequate summer meltwater. Intrinsically,
Antarctic mosses represent unique diminutive communities at the limits of survival,
ecologically they provide habitat for invertebrates, and globally they can be seen as
sentinels for global environmental change. There is evidence for rapid environmental
change already occurring on the Antarctic continent: the Peninsula is one of the fastest
warming regions on the planet, East Antarctica is undergoing warming and drying, and the
entire continent is subject to high UV-B levels as a result of ozone depletion. Already at the
limits of survival, Antarctic mosses are likely to be particularly sensitive environmental
change. Indirect effects of climate change such as water relations will probably have a
greater impact than rising temperatures alone. Mosses may benefit from the short term
reduction in stress that follows warmer temperatures. However the long term effect is more
complex, particularly combined with competition from invasive species interactions.
Community level shifts in moss distribution and diversity are likely, as well as possible local
extinctions. Understanding the response of moss communities to environmental change
requires a combination of long term field studies, incorporation of new technologies and
continued monitoring programs, including conservation plans in a proactive response.",,,,,,,"http://hdl.handle.net/10092/13864",,"en","English",,"University of Canterbury",,"All Rights Reserved",,,,,"Plants on the edge: How will Antarctic mosses respond to global environmental change?",,"Electronic Thesis or Dissertation","Science","University of Canterbury","Postgraduate Certificate","Postgraduate Certificate in Antarctic Studies","College of Science, University of Canterbury","ucresearchrepository@canterbury.ac.nz",,
